,clock,defense,defense_score,distance,home,offense,offense_score,period,surrender_index,yard_line
0,"{'minutes': 10, 'seconds': 48}",Washington,35,6,Washington,Eastern Washington,7,3,1407.764954274598,20
1,"{'minutes': 5, 'seconds': 37}",Washington,45,9,Washington,Eastern Washington,14,4,714.7467421084829,26
2,"{'minutes': 14, 'seconds': 47}",Michigan,10,9,Michigan,Iowa,3,4,206.49647676133193,39
3,"{'minutes': 14, 'seconds': 5}",Washington,0,14,Washington,Eastern Washington,0,1,204.9348842471344,21
4,"{'minutes': 7, 'seconds': 11}",Washington,35,13,Washington,Eastern Washington,7,3,192.13765975711698,24
5,"{'minutes': 3, 'seconds': 25}",Georgia Southern,41,2,Georgia Southern,New Mexico State,7,4,187.4884306781632,36
6,"{'minutes': 6, 'seconds': 29}",Washington,14,7,Washington,Eastern Washington,0,1,171.5806952139851,28
7,"{'minutes': 9, 'seconds': 28}",Oregon,23,4,Oregon,Utah,15,4,160.2469907171189,40
8,"{'minutes': 13, 'seconds': 29}",South Alabama,14,9,South Alabama,Georgia Southern,10,4,128.10982951339736,41
9,"{'minutes': 11, 'seconds': 55}",Oregon,49,4,USC,USC,17,4,125.38093451349134,59
10,"{'minutes': 14, 'seconds': 50}",USC,31,10,Arizona State,Arizona State,20,4,111.9867580868942,63
11,"{'minutes': 14, 'seconds': 49}",Eastern Michigan,17,6,Eastern Michigan,Ball State,14,3,94.36205844430862,38
12,"{'minutes': 15, 'seconds': 0}",California,17,10,California,Oregon State,14,4,87.64962638879783,40
13,"{'minutes': 11, 'seconds': 50}",Georgia,48,7,Georgia,Arkansas State,0,4,82.96182429271563,41
14,"{'minutes': 9, 'seconds': 56}",Kansas State,7,5,Kansas State,TCU,0,1,79.80837175635735,36
15,"{'minutes': 10, 'seconds': 58}",Washington State,6,9,Washington State,Stanford,0,1,76.61603688610305,34
16,"{'minutes': 15, 'seconds': 0}",Nevada,14,4,Nevada,New Mexico,10,4,73.384206336,47
17,"{'minutes': 15, 'seconds': 0}",Georgia State,28,11,Georgia State,Troy,14,3,71.53332899907898,32
18,"{'minutes': 12, 'seconds': 57}",Rice,24,7,UTEP,UTEP,16,4,70.73272544778406,56
19,"{'minutes': 7, 'seconds': 24}",Michigan State,27,26,Rutgers,Rutgers,0,4,68.39009990073289,64
20,"{'minutes': 14, 'seconds': 0}",Penn State,10,14,Iowa,Iowa,6,4,67.01185131196551,59
21,"{'minutes': 15, 'seconds': 0}",Tulane,51,16,Tulane,Missouri State,6,4,65.73721979159836,40
22,"{'minutes': 11, 'seconds': 43}",West Virginia,14,8,Kansas State,Kansas State,10,2,63.84669740508587,65
23,"{'minutes': 15, 'seconds': 0}",UAB,26,12,North Texas,North Texas,21,4,60.86779610333183,58
24,"{'minutes': 10, 'seconds': 0}",Louisiana,56,4,Louisiana,Texas Southern,6,3,60.65436253483156,37
25,"{'minutes': 10, 'seconds': 17}",Boston College,45,7,Boston College,Richmond,10,4,60.01770605252826,42
26,"{'minutes': 11, 'seconds': 23}",Penn State,17,2,Penn State,Pittsburgh,10,4,59.27763328510463,48
27,"{'minutes': 11, 'seconds': 38}",UT San Antonio,19,25,UTEP,UTEP,10,4,58.66306967049917,61
28,"{'minutes': 4, 'seconds': 39}",Nebraska,24,6,Nebraska,Iowa,24,4,57.46202766457728,34
29,"{'minutes': 15, 'seconds': 0}",UCLA,14,6,UCLA,Arizona State,7,2,55.42248038635927,38
30,"{'minutes': 5, 'seconds': 34}",Ohio,31,8,Ohio,Kent State,24,3,55.18800537648079,36
31,"{'minutes': 15, 'seconds': 0}",Hawai'i,38,5,New Mexico,New Mexico,10,4,55.038154752,53
32,"{'minutes': 14, 'seconds': 1}",Ohio State,7,7,Ohio State,Penn State,0,2,53.2055811709049,36
33,"{'minutes': 1, 'seconds': 32}",Texas State,14,3,Texas State,Wyoming,10,2,51.31711146885118,40
34,"{'minutes': 15, 'seconds': 0}",Liberty,13,16,New Mexico State,New Mexico State,6,4,50.723163419443196,57
35,"{'minutes': 15, 'seconds': 0}",Oregon State,35,29,Oregon State,Arizona State,28,4,50.723163419443196,43
36,"{'minutes': 13, 'seconds': 55}",Texas State,24,4,Texas State,Nicholls,3,4,50.129998205616,47
37,"{'minutes': 11, 'seconds': 0}",Connecticut,17,6,Temple,Temple,7,2,49.88023234772333,63
38,"{'minutes': 13, 'seconds': 30}",Rice,31,6,Middle Tennessee,Middle Tennessee,21,4,48.337315802495986,53
39,"{'minutes': 9, 'seconds': 24}",Kansas State,38,21,Kansas,Kansas,3,4,47.776318139751005,61
40,"{'minutes': 9, 'seconds': 52}",TCU,17,6,TCU,West Virginia,13,4,46.41602058790501,47
41,"{'minutes': 5, 'seconds': 1}",Texas Tech,7,6,Kansas,Kansas,0,1,46.185400321966064,61
42,"{'minutes': 15, 'seconds': 0}",Boston College,7,6,Boston College,Florida State,3,2,46.185400321966064,39
43,"{'minutes': 9, 'seconds': 1}",Hawai'i,7,5,Hawai'i,San Diego State,0,2,46.185400321966064,39
44,"{'minutes': 6, 'seconds': 17}",Akron,14,2,UMass,UMass,34,3,45.96962213166182,67
45,"{'minutes': 15, 'seconds': 0}",TCU,38,6,TCU,Kansas,0,4,45.86512896,48
46,"{'minutes': 15, 'seconds': 0}",Western Kentucky,13,17,Old Dominion,Old Dominion,3,4,45.650847077498874,58
47,"{'minutes': 12, 'seconds': 44}",Army,40,5,Army,VMI,6,4,45.173201480515594,47
48,"{'minutes': 9, 'seconds': 24}",Eastern Michigan,17,8,Eastern Michigan,Western Michigan,14,3,43.57707592226108,38
49,"{'minutes': 10, 'seconds': 58}",Air Force,20,8,Colorado,Colorado,10,3,42.72708486926582,63
50,"{'minutes': 15, 'seconds': 0}",Kentucky,17,4,Kentucky,Arkansas,13,4,42.52907636976772,50
51,"{'minutes': 6, 'seconds': 11}",Oregon,35,18,Oregon,Montana,3,4,42.30433274963232,38
52,"{'minutes': 14, 'seconds': 49}",Mississippi State,21,5,Mississippi State,Ole Miss,14,4,41.867560422291696,50
53,"{'minutes': 15, 'seconds': 0}",Indiana,35,5,Indiana,Eastern Illinois,0,3,41.590915185770484,41
54,"{'minutes': 6, 'seconds': 0}",Ohio State,56,10,Rutgers,Rutgers,14,4,41.57207000292577,62
55,"{'minutes': 12, 'seconds': 39}",Wyoming,14,6,Wyoming,Idaho,13,4,41.5181621479968,49
56,"{'minutes': 15, 'seconds': 0}",Cincinnati,14,16,Marshall,Marshall,0,2,41.37265991849564,68
57,"{'minutes': 12, 'seconds': 6}",Appalachian State,10,1,Louisiana,Louisiana,7,4,41.30455848010335,47
58,"{'minutes': 5, 'seconds': 38}",Louisiana Monroe,31,4,Louisiana Monroe,Grambling,9,4,40.3338975289043,44
59,"{'minutes': 9, 'seconds': 5}",UNLV,24,6,Nevada,Nevada,13,3,40.24637206587037,61
60,"{'minutes': 9, 'seconds': 1}",Georgia,14,6,Auburn,Auburn,0,3,40.12381203974979,61
61,"{'minutes': 15, 'seconds': 0}",South Dakota State,0,6,Minnesota,Minnesota,0,1,39.90418587817867,64
62,"{'minutes': 12, 'seconds': 46}",The Citadel,0,5,Georgia Tech,Georgia Tech,0,1,39.90418587817867,64
63,"{'minutes': 7, 'seconds': 48}",Nevada,16,2,Nevada,Weber State,10,3,39.28977864674493,42
64,"{'minutes': 9, 'seconds': 9}",Oklahoma State,56,4,Oklahoma State,McNeese,7,4,39.077623328334795,46
65,"{'minutes': 4, 'seconds': 35}",LSU,10,5,Texas,Texas,7,2,38.487833601638386,60
66,"{'minutes': 4, 'seconds': 44}",Oklahoma State,3,5,Texas,Texas,0,1,38.487833601638386,60
67,"{'minutes': 5, 'seconds': 52}",Utah State,7,6,San Diego State,San Diego State,3,1,38.487833601638386,60
68,"{'minutes': 15, 'seconds': 0}",Minnesota,7,5,Rutgers,Rutgers,0,2,38.487833601638386,60
69,"{'minutes': 14, 'seconds': 47}",Kansas State,7,5,Kansas State,Iowa State,0,1,38.487833601638386,40
70,"{'minutes': 9, 'seconds': 46}",Arizona State,13,10,Arizona State,Oregon,7,3,38.347285949663174,35
71,"{'seconds': 31, 'minutes': 0}",Pittsburgh,3,18,Pittsburgh,Ohio,0,1,38.30801844305152,34
72,"{'minutes': 10, 'seconds': 11}",Coastal Carolina,7,21,UMass,UMass,0,1,38.30801844305152,66
73,"{'minutes': 12, 'seconds': 55}",North Texas,7,17,Southern Mississippi,Southern Mississippi,6,1,38.30801844305152,66
74,"{'minutes': 3, 'seconds': 0}",Auburn,3,15,LSU,LSU,0,1,38.30801844305152,66
75,"{'minutes': 6, 'seconds': 15}",Louisiana Monroe,7,9,Louisiana Monroe,Coastal Carolina,7,1,38.30801844305152,34
76,"{'minutes': 14, 'seconds': 55}",UCF,41,10,UCF,East Carolina,22,4,37.77250600403803,43
77,"{'minutes': 15, 'seconds': 0}",Hawai'i,7,7,Hawai'i,San Diego State,0,2,36.948320257572846,38
78,"{'minutes': 11, 'seconds': 45}",Kentucky,24,7,Kentucky,Toledo,17,4,36.767436015743996,47
79,"{'minutes': 15, 'seconds': 0}",Oregon,63,9,Oregon,Nevada,6,4,36.692103168,47
80,"{'minutes': 6, 'seconds': 21}",Central Michigan,49,6,Central Michigan,Toledo,7,4,35.98572351419909,45
81,"{'minutes': 14, 'seconds': 48}",Iowa,7,2,Iowa,Rutgers,0,2,35.63688296447999,42
82,"{'minutes': 5, 'seconds': 44}",Kent State,10,3,Akron,Akron,3,2,35.63688296447999,58
83,"{'minutes': 5, 'seconds': 21}",Western Michigan,3,3,Ohio,Ohio,0,2,35.63688296447999,58
84,"{'minutes': 15, 'seconds': 0}",Virginia Tech,23,2,Virginia Tech,Wake Forest,17,4,35.209613824000016,55
85,"{'minutes': 9, 'seconds': 0}",Georgia Southern,17,5,Georgia Southern,Louisiana Monroe,7,2,34.63905024147455,39
86,"{'minutes': 15, 'seconds': 0}",Syracuse,24,13,Syracuse,Western Michigan,13,3,34.49716869168547,36
87,"{'minutes': 3, 'seconds': 6}",Washington State,28,6,Oregon,Oregon,34,4,34.47721659874637,67
88,"{'minutes': 2, 'seconds': 24}",Iowa,20,18,Iowa,Minnesota,3,2,34.47721659874637,33
89,"{'minutes': 13, 'seconds': 40}",Western Kentucky,17,12,Western Kentucky,Middle Tennessee,13,3,34.39226502081016,37
90,"{'minutes': 3, 'seconds': 57}",Baylor,49,9,Baylor,Stephen F. Austin,7,3,33.69616042959236,37
91,"{'minutes': 15, 'seconds': 0}",Oregon,14,7,Oregon,Montana,0,2,33.25348823181556,37
92,"{'minutes': 5, 'seconds': 11}",Wyoming,13,2,Wyoming,New Mexico,0,3,33.03796377255436,41
93,"{'seconds': 48, 'minutes': 0}",Iowa,10,6,Iowa,Miami (OH),7,2,32.07319466803199,41
94,"{'minutes': 8, 'seconds': 51}",Boston College,7,6,Boston College,Richmond,0,1,32.07319466803199,41
95,"{'minutes': 15, 'seconds': 0}",South Florida,14,4,East Carolina,East Carolina,7,2,32.07319466803199,59
96,"{'minutes': 13, 'seconds': 23}",UCF,7,21,Florida Atlantic,Florida Atlantic,0,1,31.923348702542935,65
97,"{'minutes': 3, 'seconds': 34}",Hawai'i,28,9,Hawai'i,Oregon State,28,3,31.923348702542935,35
98,"{'minutes': 13, 'seconds': 57}",Northern Illinois,17,8,Northern Illinois,Illinois State,10,4,31.0343623915584,49
99,"{'minutes': 3, 'seconds': 10}",Wyoming,14,7,Wyoming,Idaho,13,3,31.001457321849617,39
100,"{'minutes': 5, 'seconds': 13}",Ole Miss,7,7,Missouri,Missouri,3,1,30.79026688131071,61
101,"{'minutes': 15, 'seconds': 0}",Ball State,7,3,Ball State,Ohio,7,2,30.79026688131071,39
102,"{'minutes': 15, 'seconds': 0}",Northwestern,0,2,Northwestern,Purdue,0,1,30.79026688131071,39
103,"{'minutes': 8, 'seconds': 26}",Kansas State,7,8,Kansas State,Iowa State,0,1,30.79026688131071,39
104,"{'minutes': 7, 'seconds': 20}",Arizona,20,6,Arizona,UCLA,17,4,30.48817314816,48
105,"{'minutes': 10, 'seconds': 49}",UNLV,24,13,Vanderbilt,Vanderbilt,10,3,30.4874232855787,65
106,"{'minutes': 8, 'seconds': 45}",Southern Mississippi,27,11,Louisiana Tech,Louisiana Tech,24,3,30.452297516887995,64
107,"{'minutes': 15, 'seconds': 0}",Temple,24,1,East Carolina,East Carolina,10,4,30.008193600000013,44
108,"{'minutes': 8, 'seconds': 59}",Tennessee,13,1,Tennessee,BYU,10,3,29.815749171365063,45
109,"{'minutes': 15, 'seconds': 0}",Stanford,17,21,Stanford,California,10,4,29.3536825344,46
110,"{'minutes': 13, 'seconds': 22}",Rice,31,7,Middle Tennessee,Middle Tennessee,14,3,29.17088373890639,60
111,"{'minutes': 4, 'seconds': 5}",Mississippi State,28,24,Mississippi State,Abilene Christian,7,3,29.15353571308301,34
112,"{'minutes': 13, 'seconds': 58}",Penn State,38,15,Penn State,Buffalo,13,4,29.00080939562414,44
113,"{'minutes': 6, 'seconds': 43}",Kentucky,16,6,Kentucky,UT Martin,0,1,28.86587520122879,40
114,"{'minutes': 13, 'seconds': 6}",Marshall,24,9,Marshall,Old Dominion,17,4,28.805525101516796,49
115,"{'minutes': 15, 'seconds': 0}",Kent State,24,14,Kent State,Bowling Green,7,3,28.747640576404553,37
116,"{'minutes': 9, 'seconds': 4}",SMU,13,10,SMU,Texas State,3,2,28.731013832288642,34
117,"{'minutes': 4, 'seconds': 27}",Navy,38,1,Navy,Holy Cross,7,3,28.37125094034205,43
118,"{'minutes': 13, 'seconds': 26}",Troy,49,3,Texas State,Texas State,20,4,27.89878723493871,47
119,"{'minutes': 8, 'seconds': 20}",Kansas,16,15,Kansas,Indiana State,10,4,27.796768712294398,43
120,"{'minutes': 5, 'seconds': 32}",Wake Forest,24,9,Rice,Rice,14,2,27.711240193179634,62
121,"{'minutes': 13, 'seconds': 16}",Charlotte,0,4,Charlotte,Marshall,0,1,27.711240193179634,38
122,"{'minutes': 8, 'seconds': 47}",Liberty,17,5,Liberty,New Mexico,3,3,27.575647146467833,41
123,"{'minutes': 15, 'seconds': 0}",East Carolina,17,1,Old Dominion,Old Dominion,13,4,27.328000000000003,31
124,"{'minutes': 15, 'seconds': 0}",San Diego State,19,1,San Diego State,Wyoming,14,4,27.328000000000003,66
125,"{'minutes': 10, 'seconds': 47}",Florida International,9,9,Florida International,Old Dominion,7,3,27.17326629973684,41
126,"{'minutes': 5, 'seconds': 32}",Tennessee,14,5,Tennessee,Georgia,13,2,26.72766222335999,42
127,"{'minutes': 6, 'seconds': 49}",Toledo,7,5,Toledo,Eastern Michigan,0,1,26.72766222335999,42
128,"{'minutes': 9, 'seconds': 4}",Southern Mississippi,7,5,Southern Mississippi,UAB,0,1,26.72766222335999,42
129,"{'minutes': 15, 'seconds': 0}",NC State,0,8,NC State,Western Carolina,0,1,26.60279058545245,36
130,"{'minutes': 2, 'seconds': 56}",Washington,10,13,Washington,California,3,2,26.60279058545245,36
131,"{'minutes': 9, 'seconds': 55}",Western Michigan,10,19,Western Michigan,Georgia State,3,1,26.60279058545245,36
132,"{'minutes': 15, 'seconds': 0}",Western Kentucky,7,11,Western Kentucky,Army,0,2,26.60279058545245,36
133,"{'minutes': 3, 'seconds': 38}",San José State,7,8,San José State,San Diego State,7,1,26.60279058545245,36
134,"{'minutes': 4, 'seconds': 30}",Ball State,3,7,Ball State,Central Michigan,3,1,26.60279058545245,36
135,"{'minutes': 2, 'seconds': 36}",Arkansas,14,3,Arkansas,Missouri,24,4,26.60279058545245,36
136,"{'minutes': 11, 'seconds': 36}",Western Michigan,21,6,Western Michigan,Miami (OH),16,4,26.05930084307456,52
137,"{'minutes': 12, 'seconds': 43}",Coastal Carolina,39,10,Coastal Carolina,Norfolk State,7,4,25.9812423594963,44
138,"{'minutes': 11, 'seconds': 4}",Appalachian State,56,9,Georgia State,Georgia State,21,4,25.91698878642585,53
139,"{'minutes': 7, 'seconds': 5}",UNLV,24,4,UNLV,San José State,14,3,25.9014851268526,41
140,"{'minutes': 9, 'seconds': 0}",Wisconsin,14,5,Wisconsin,Iowa,6,3,25.780255689749293,43
141,"{'minutes': 7, 'seconds': 40}",Texas Tech,3,9,Texas Tech,Oklahoma State,0,1,25.65855573442559,40
142,"{'minutes': 1, 'seconds': 17}",Kent State,14,7,Eastern Michigan,Eastern Michigan,7,1,25.65855573442559,60
143,"{'minutes': 14, 'seconds': 31}",Ohio,34,3,Ohio,Rhode Island,13,4,25.33514028620548,55
144,"{'minutes': 13, 'seconds': 13}",South Florida,27,12,Connecticut,Connecticut,14,3,24.918123264469564,63
145,"{'minutes': 11, 'seconds': 33}",Boise State,7,2,UNLV,UNLV,0,1,24.747835391999995,56
146,"{'minutes': 5, 'seconds': 8}",Arkansas State,7,3,Arkansas State,Louisiana,0,1,24.747835391999995,44
147,"{'minutes': 11, 'seconds': 21}",Boise State,14,8,Boise State,Marshall,7,4,24.6243405834048,49
148,"{'minutes': 7, 'seconds': 33}",Arizona State,3,6,Michigan State,Michigan State,0,3,24.343547558840534,57
149,"{'minutes': 10, 'seconds': 22}",Appalachian State,34,9,North Carolina,North Carolina,24,4,24.30577206947635,53
150,"{'minutes': 10, 'seconds': 17}",Utah State,62,8,Utah State,Stony Brook,7,4,24.119769986387713,47
151,"{'minutes': 4, 'seconds': 14}",Marshall,28,4,Marshall,VMI,7,2,24.05489600102399,41
152,"{'minutes': 1, 'seconds': 38}",Charlotte,28,4,Charlotte,Gardner-Webb,7,2,24.05489600102399,41
153,"{'minutes': 14, 'seconds': 47}",Buffalo,14,10,Buffalo,Ohio,7,4,24.01224036770765,47
154,"{'minutes': 9, 'seconds': 48}",Wisconsin,17,19,Wisconsin,Michigan State,0,3,24.008302994715248,36
155,"{'minutes': 1, 'seconds': 11}",Portland State,13,6,Arkansas,Arkansas,20,4,23.9425115269072,65
156,"{'minutes': 13, 'seconds': 30}",Marshall,17,15,Marshall,Western Kentucky,0,2,23.9425115269072,35
157,"{'minutes': 14, 'seconds': 53}",Syracuse,14,15,Duke,Duke,0,2,23.9425115269072,65
158,"{'minutes': 5, 'seconds': 31}",Memphis,33,7,Memphis,SMU,24,3,23.93014979667673,39
159,"{'minutes': 10, 'seconds': 33}",Washington,31,5,Washington,Oregon,28,4,23.67904114150075,52
160,"{'minutes': 12, 'seconds': 31}",Kansas State,23,13,Texas Tech,Texas Tech,20,4,23.632023597983537,54
161,"{'minutes': 12, 'seconds': 36}",BYU,42,2,BYU,Idaho State,10,4,23.560238109017718,54
162,"{'minutes': 8, 'seconds': 29}",Troy,35,34,Coastal Carolina,Coastal Carolina,28,4,23.493497102841246,56
163,"{'minutes': 10, 'seconds': 26}",Nevada,17,2,San Diego State,San Diego State,10,4,23.467370344780036,45
164,"{'minutes': 10, 'seconds': 42}",Auburn,14,11,Auburn,Tulane,6,3,23.362594486862584,38
165,"{'minutes': 1, 'seconds': 18}",Texas A&M,31,7,Texas A&M,Texas State,0,3,23.103658848029827,39
166,"{'minutes': 13, 'seconds': 0}",Florida International,0,5,Middle Tennessee,Middle Tennessee,0,1,23.092700160983032,61
167,"{'minutes': 1, 'seconds': 25}",Colorado State,7,6,Wyoming,Wyoming,7,2,23.092700160983032,61
168,"{'minutes': 1, 'seconds': 26}",Eastern Michigan,23,9,Eastern Michigan,Ball State,29,4,22.98481106583091,33
169,"{'minutes': 10, 'seconds': 34}",Abilene Christian,0,10,Mississippi State,Mississippi State,0,1,22.98481106583091,67
170,"{'minutes': 6, 'seconds': 51}",Duke,0,17,Wake Forest,Wake Forest,0,1,22.98481106583091,67
171,"{'minutes': 1, 'seconds': 2}",Oregon,7,8,Arizona State,Arizona State,13,3,22.98481106583091,67
172,"{'minutes': 13, 'seconds': 6}",Arizona,13,10,Arizona,Texas Tech,7,3,22.870820201910405,39
173,"{'minutes': 12, 'seconds': 47}",Wyoming,17,1,Boise State,Boise State,10,4,22.529631852,29
174,"{'minutes': 14, 'seconds': 1}",Texas,31,17,Texas,Kansas,24,4,22.474672313780736,47
175,"{'minutes': 5, 'seconds': 55}",Delaware,14,9,Pittsburgh,Pittsburgh,10,3,22.338742210090494,59
176,"{'minutes': 12, 'seconds': 11}",Ole Miss,17,7,Ole Miss,Vanderbilt,6,3,22.300779163445547,41
177,"{'seconds': 58, 'minutes': 0}",Oklahoma State,24,5,Oklahoma State,TCU,17,3,22.277397592493102,43
178,"{'minutes': 9, 'seconds': 50}",Tennessee,10,4,Tennessee,South Carolina,7,2,22.273051852799995,43
179,"{'minutes': 12, 'seconds': 36}",Ole Miss,3,6,Ole Miss,New Mexico State,0,1,22.273051852799995,43
180,"{'minutes': 15, 'seconds': 0}",Buffalo,7,10,Akron,Akron,0,3,22.181821432410924,60
181,"{'minutes': 6, 'seconds': 33}",Penn State,0,7,Penn State,Pittsburgh,0,1,22.168992154543705,37
182,"{'minutes': 7, 'seconds': 54}",NC State,0,8,Boston College,Boston College,0,1,22.168992154543705,63
183,"{'minutes': 15, 'seconds': 0}",Louisiana,0,8,Louisiana,Texas State,0,2,22.168992154543705,37
184,"{'minutes': 8, 'seconds': 16}",Hawai'i,7,8,UNLV,UNLV,7,3,22.168992154543705,63
185,"{'minutes': 8, 'seconds': 54}",BYU,42,15,Utah State,Utah State,14,4,21.98803755117017,57
186,"{'minutes': 15, 'seconds': 0}",Kentucky,24,2,Kentucky,Toledo,17,4,21.862400000000004,63
187,"{'minutes': 15, 'seconds': 0}",Purdue,31,6,Nevada,Nevada,17,4,21.78594855360001,46
188,"{'minutes': 13, 'seconds': 59}",Buffalo,7,1,Miami (OH),Miami (OH),3,2,21.482495999999998,54
189,"{'minutes': 4, 'seconds': 16}",Boise State,0,3,Boise State,Air Force,0,1,21.382129778687997,41
190,"{'minutes': 15, 'seconds': 0}",Arizona,7,8,Colorado,Colorado,3,2,21.382129778687997,59
191,"{'minutes': 6, 'seconds': 25}",South Alabama,7,8,South Alabama,Georgia Southern,3,2,21.382129778687997,41
192,"{'minutes': 11, 'seconds': 43}",Iowa State,0,3,Texas Tech,Texas Tech,0,1,21.382129778687997,59
193,"{'minutes': 15, 'seconds': 0}",Cincinnati,21,8,East Carolina,East Carolina,14,2,21.382129778687997,59
194,"{'minutes': 15, 'seconds': 0}",South Florida,7,7,South Florida,Cincinnati,0,2,21.382129778687997,41
195,"{'minutes': 15, 'seconds': 0}",Illinois,42,9,Illinois,Akron,3,4,21.264538184883865,50
196,"{'minutes': 6, 'seconds': 8}",Utah State,41,4,Utah State,Stony Brook,7,3,21.044747139906413,42
197,"{'minutes': 12, 'seconds': 12}",Troy,16,9,Troy,South Alabama,10,3,20.67270587435565,43
198,"{'minutes': 14, 'seconds': 15}",Oregon,21,3,Auburn,Auburn,13,4,20.497420400000006,38
199,"{'minutes': 15, 'seconds': 0}",Western Michigan,49,1,Western Michigan,Bowling Green,10,4,20.496000000000002,66
200,"{'minutes': 14, 'seconds': 14}",UCF,31,2,Tulsa,Tulsa,24,4,20.4678690048,33
201,"{'minutes': 14, 'seconds': 13}",Eastern Michigan,21,3,Eastern Michigan,Central Connecticut,15,4,20.438351286400007,82
202,"{'minutes': 4, 'seconds': 21}",Wyoming,34,5,Wyoming,Missouri,17,3,20.402151644100645,42
203,"{'minutes': 6, 'seconds': 25}",Iowa,24,7,Iowa,Miami (OH),7,3,20.342102184422743,40
204,"{'minutes': 7, 'seconds': 59}",Oregon,35,10,Oregon,Montana,3,4,20.170269392501996,43
205,"{'minutes': 9, 'seconds': 7}",Louisville,14,4,Louisville,Eastern Kentucky,0,2,20.045746667519992,42
206,"{'minutes': 8, 'seconds': 3}",Memphis,14,4,Tulsa,Tulsa,0,1,20.045746667519992,58
207,"{'minutes': 6, 'seconds': 23}",Stanford,17,6,Stanford,Notre Dame,7,2,20.045746667519992,42
208,"{'minutes': 7, 'seconds': 53}",Liberty,62,19,Liberty,Hampton,27,4,19.980498413603982,43
209,"{'minutes': 15, 'seconds': 0}",Oregon State,14,17,California,California,3,3,19.963639289169834,61
210,"{'minutes': 15, 'seconds': 0}",California,20,19,California,North Texas,0,2,19.952092939089336,36
211,"{'minutes': 10, 'seconds': 32}",Northwestern,3,4,Wisconsin,Wisconsin,7,3,19.952092939089336,64
212,"{'minutes': 9, 'seconds': 10}",Purdue,7,5,Penn State,Penn State,28,3,19.952092939089336,64
213,"{'minutes': 9, 'seconds': 21}",San José State,10,6,San José State,San Diego State,27,4,19.952092939089336,36
214,"{'minutes': 6, 'seconds': 38}",West Virginia,10,6,West Virginia,Texas Tech,35,2,19.952092939089336,36
215,"{'minutes': 14, 'seconds': 59}",SMU,31,18,TCU,TCU,17,3,19.935612822073104,61
216,"{'minutes': 13, 'seconds': 33}",Robert Morris,10,12,Buffalo,Buffalo,38,4,19.858876760877905,70
217,"{'minutes': 15, 'seconds': 0}",Utah State,48,3,Utah State,Stony Brook,7,4,19.840128000000007,58
218,"{'minutes': 13, 'seconds': 44}",TCU,9,3,TCU,Baylor,6,4,19.5969005568,72
219,"{'minutes': 11, 'seconds': 34}",Louisiana Monroe,17,2,Texas State,Texas State,14,4,19.553958485248007,42
220,"{'minutes': 1, 'seconds': 59}",Virginia Tech,7,6,Boston College,Boston College,7,1,19.243916800819193,60
221,"{'minutes': 4, 'seconds': 25}",Duke,14,7,Virginia Tech,Virginia Tech,3,2,19.243916800819193,60
222,"{'minutes': 15, 'seconds': 0}",UCF,0,6,UCF,East Carolina,0,1,19.243916800819193,40
223,"{'seconds': 19, 'minutes': 0}",Fresno State,28,7,Fresno State,UNLV,17,2,19.243916800819193,40
224,"{'minutes': 4, 'seconds': 26}",Georgia,19,11,Georgia,Texas A&M,13,4,19.193745236953234,43
225,"{'minutes': 12, 'seconds': 37}",East Carolina,38,9,East Carolina,Gardner-Webb,7,3,19.16103556310085,42
226,"{'minutes': 14, 'seconds': 8}",Northwestern,0,10,Stanford,Stanford,0,2,19.15400922152576,66
227,"{'minutes': 7, 'seconds': 34}",Arkansas,17,8,Arkansas,San José State,24,4,19.15400922152576,34
228,"{'seconds': 38, 'minutes': 0}",Kansas,24,7,Kansas,West Virginia,29,4,19.15400922152576,34
229,"{'minutes': 7, 'seconds': 51}",Toledo,28,2,Toledo,Kent State,20,3,18.981711955287246,46
230,"{'minutes': 11, 'seconds': 33}",Tennessee,30,8,Tennessee,UAB,0,4,18.806414226667197,49
231,"{'minutes': 12, 'seconds': 11}",Air Force,48,3,Air Force,Colgate,7,4,18.759416989159444,56
232,"{'minutes': 12, 'seconds': 11}",Texas Tech,34,6,Kansas,Kansas,27,4,18.759416989159444,44
233,"{'minutes': 11, 'seconds': 47}",Virginia Tech,21,11,Virginia Tech,Pittsburgh,0,3,18.752102616299666,38
234,"{'minutes': 3, 'seconds': 51}",Notre Dame,7,6,Notre Dame,New Mexico,0,1,18.560876543999996,44
235,"{'minutes': 4, 'seconds': 52}",Illinois,7,5,Minnesota,Minnesota,0,1,18.560876543999996,56
236,"{'minutes': 15, 'seconds': 0}",Middle Tennessee,14,6,Middle Tennessee,Old Dominion,7,2,18.560876543999996,44
237,"{'minutes': 14, 'seconds': 34}",Buffalo,7,6,Buffalo,Bowling Green,0,1,18.560876543999996,44
238,"{'minutes': 1, 'seconds': 6}",Clemson,14,4,Clemson,Virginia,7,1,18.560876543999996,44
239,"{'minutes': 13, 'seconds': 5}",Louisville,24,3,Florida State,Florida State,21,4,18.5091012,32
240,"{'minutes': 11, 'seconds': 24}",New Mexico,0,9,Notre Dame,Notre Dame,0,1,18.474160128786423,62
241,"{'minutes': 7, 'seconds': 36}",South Carolina,14,2,Missouri,Missouri,34,4,18.474160128786423,62
242,"{'minutes': 15, 'seconds': 0}",Pittsburgh,0,9,Pittsburgh,Delaware,0,1,18.474160128786423,38
