,clock,defense,defense_score,distance,home,offense,offense_score,period,surrender_index,yard_line
6947,"{'minutes': 11, 'seconds': 51}",Illinois,17,8,Minnesota,Minnesota,37,4,0.4,39
6948,"{'minutes': 3, 'seconds': 39}",Rutgers,7,7,Rutgers,Maryland,27,2,0.4,61
6949,"{'minutes': 3, 'seconds': 32}",Michigan State,10,9,Ohio State,Ohio State,27,3,0.4,15
6950,"{'minutes': 4, 'seconds': 39}",Michigan State,10,7,Ohio State,Ohio State,34,4,0.4,28
6951,"{'minutes': 5, 'seconds': 56}",Nebraska,10,14,Nebraska,Northwestern,10,4,0.4,79
6952,"{'minutes': 7, 'seconds': 21}",Georgia Tech,7,7,Georgia Tech,North Carolina,17,3,0.4,68
6953,"{'seconds': 24, 'minutes': 0}",Miami,14,8,Miami,Virginia Tech,28,3,0.4,77
6954,"{'minutes': 4, 'seconds': 6}",Miami,29,9,Miami,Virginia Tech,35,4,0.4,74
6955,"{'minutes': 7, 'seconds': 42}",Middle Tennessee,10,14,Middle Tennessee,Marshall,10,2,0.4,84
6956,"{'minutes': 5, 'seconds': 31}",Old Dominion,3,9,Old Dominion,Western Kentucky,13,3,0.4,65
6957,"{'seconds': 36, 'minutes': 0}",Air Force,6,7,Navy,Navy,14,2,0.4,36
6958,"{'minutes': 2, 'seconds': 53}",UNLV,7,7,UNLV,Boise State,31,4,0.4,89
6959,"{'minutes': 12, 'seconds': 20}",Colorado State,3,9,Colorado State,San Diego State,17,3,0.4,87
6960,"{'minutes': 2, 'seconds': 8}",UCF,16,8,Cincinnati,Cincinnati,20,3,0.4,30
6961,"{'minutes': 9, 'seconds': 24}",Louisiana Monroe,26,7,Louisiana Monroe,Memphis,39,4,0.4,84
6962,"{'minutes': 15, 'seconds': 0}",Ball State,17,10,Northern Illinois,Northern Illinois,17,4,0.4,3
6963,"{'minutes': 4, 'seconds': 21}",Arkansas State,28,7,Georgia State,Georgia State,38,3,0.4,28
6964,"{'minutes': 10, 'seconds': 27}",LSU,0,11,LSU,Florida,0,1,0.4,75
6965,"{'minutes': 11, 'seconds': 6}",Tennessee,0,13,Tennessee,Mississippi State,0,1,0.4,83
6966,"{'minutes': 1, 'seconds': 9}",Alabama,7,16,Texas A&M,Texas A&M,7,1,0.4,19
6967,"{'minutes': 7, 'seconds': 52}",Iowa State,0,10,West Virginia,West Virginia,0,1,0.4,26
6968,"{'minutes': 14, 'seconds': 4}",Purdue,0,33,Purdue,Maryland,0,1,0.4,77
6969,"{'minutes': 14, 'seconds': 55}",Michigan State,0,16,Wisconsin,Wisconsin,0,1,0.4,36
6970,"{'minutes': 3, 'seconds': 30}",Nebraska,0,9,Minnesota,Minnesota,7,1,0.4,27
6971,"{'minutes': 5, 'seconds': 49}",Virginia,0,8,Miami,Miami,7,1,0.4,26
6972,"{'minutes': 15, 'seconds': 0}",Utah,0,14,Oregon State,Oregon State,0,1,0.4,21
6973,"{'minutes': 12, 'seconds': 3}",Old Dominion,0,12,Marshall,Marshall,0,1,0.4,10
6974,"{'minutes': 15, 'seconds': 0}",UAB,0,13,UT San Antonio,UT San Antonio,0,1,0.4,22
6975,"{'minutes': 15, 'seconds': 0}",Boise State,0,11,Boise State,Hawai'i,0,1,0.4,76
6976,"{'minutes': 7, 'seconds': 11}",New Mexico,0,8,New Mexico,Colorado State,7,1,0.4,86
6977,"{'minutes': 15, 'seconds': 0}",Wyoming,0,12,San Diego State,San Diego State,0,1,0.4,23
6978,"{'minutes': 7, 'seconds': 56}",San Diego State,0,13,San Diego State,Wyoming,0,1,0.4,66
6979,"{'minutes': 15, 'seconds': 0}",Nevada,0,24,Nevada,San José State,0,1,0.4,89
6980,"{'minutes': 13, 'seconds': 26}",Tulsa,0,12,Tulsa,Navy,0,1,0.4,82
6981,"{'minutes': 6, 'seconds': 57}",Ball State,0,10,Eastern Michigan,Eastern Michigan,0,1,0.4,30
6982,"{'minutes': 4, 'seconds': 56}",LSU,28,31,LSU,Florida,28,3,0.4,96
6983,"{'minutes': 11, 'seconds': 46}",Iowa State,14,15,West Virginia,West Virginia,14,3,0.4,30
6984,"{'minutes': 11, 'seconds': 28}",Texas,3,7,Texas,Oklahoma,10,3,0.4,62
6985,"{'minutes': 1, 'seconds': 58}",Illinois,0,9,Illinois,Michigan,28,2,0.4,74
6986,"{'minutes': 7, 'seconds': 47}",Rutgers,0,9,Indiana,Indiana,21,2,0.4,14
6987,"{'minutes': 6, 'seconds': 19}",Iowa,6,8,Iowa,Penn State,7,3,0.4,70
6988,"{'minutes': 7, 'seconds': 50}",Syracuse,3,7,NC State,NC State,16,4,0.4,39
6989,"{'minutes': 11, 'seconds': 12}",Rhode Island,17,7,Virginia Tech,Virginia Tech,31,4,0.4,31
6990,"{'minutes': 8, 'seconds': 49}",Arizona,17,9,Arizona,Washington,20,3,0.4,87
6991,"{'minutes': 1, 'seconds': 27}",New Mexico State,14,8,Central Michigan,Central Michigan,28,2,0.4,27
6992,"{'minutes': 6, 'seconds': 12}",South Florida,14,9,South Florida,BYU,30,3,0.4,85
6993,"{'minutes': 13, 'seconds': 0}",Air Force,22,7,Air Force,Fresno State,24,3,0.4,87
6994,"{'minutes': 8, 'seconds': 22}",New Mexico,14,7,New Mexico,Colorado State,28,3,0.4,88
6995,"{'minutes': 6, 'seconds': 6}",San José State,24,9,Nevada,Nevada,31,3,0.4,25
6996,"{'minutes': 11, 'seconds': 36}",Houston,10,9,Houston,Cincinnati,14,2,0.4,74
6997,"{'minutes': 9, 'seconds': 49}",Eastern Michigan,23,7,Eastern Michigan,Ball State,29,4,0.4,79
6998,"{'minutes': 2, 'seconds': 58}",Miami (OH),9,7,Western Michigan,Western Michigan,21,3,0.4,15
6999,"{'minutes': 11, 'seconds': 16}",Northern Illinois,10,7,Ohio,Ohio,21,3,0.4,37
7000,"{'minutes': 2, 'seconds': 19}",Louisiana,7,8,Louisiana,Appalachian State,10,3,0.4,83
7001,"{'minutes': 13, 'seconds': 32}",Louisiana,7,7,Louisiana,Appalachian State,10,4,0.4,73
7002,"{'minutes': 13, 'seconds': 27}",Alabama,0,13,Alabama,Tennessee,0,1,0.4,88
7003,"{'minutes': 12, 'seconds': 2}",Kentucky,0,16,Georgia,Georgia,0,2,0.4,36
7004,"{'minutes': 13, 'seconds': 10}",Ole Miss,0,13,Ole Miss,Texas A&M,0,1,0.4,78
7005,"{'minutes': 2, 'seconds': 26}",Florida,3,8,South Carolina,South Carolina,7,1,0.4,18
7006,"{'minutes': 8, 'seconds': 6}",Missouri,0,14,Vanderbilt,Vanderbilt,0,1,0.4,30
7007,"{'minutes': 4, 'seconds': 26}",Illinois,0,9,Illinois,Wisconsin,7,1,0.4,96
7008,"{'minutes': 8, 'seconds': 18}",Penn State,0,11,Penn State,Michigan,0,1,0.4,86
7009,"{'minutes': 11, 'seconds': 38}",Minnesota,0,22,Rutgers,Rutgers,0,1,0.4,8
7010,"{'minutes': 7, 'seconds': 32}",Minnesota,0,12,Rutgers,Rutgers,0,1,0.4,11
7011,"{'minutes': 7, 'seconds': 26}",Northwestern,0,8,Northwestern,Ohio State,7,1,0.4,86
7012,"{'minutes': 12, 'seconds': 19}",Syracuse,0,10,Syracuse,Pittsburgh,0,1,0.4,64
7013,"{'minutes': 10, 'seconds': 56}",Pittsburgh,0,17,Syracuse,Syracuse,0,1,0.4,29
7014,"{'minutes': 13, 'seconds': 51}",Boston College,0,24,Boston College,NC State,0,1,0.4,78
7015,"{'minutes': 8, 'seconds': 55}",Boston College,0,11,Boston College,NC State,0,1,0.4,80
7016,"{'minutes': 6, 'seconds': 17}",Miami,7,16,Miami,Georgia Tech,7,1,0.4,79
7017,"{'minutes': 13, 'seconds': 21}",Miami,14,15,Miami,Georgia Tech,14,2,0.4,99
7018,"{'minutes': 1, 'seconds': 39}",Utah,0,15,Utah,Arizona State,0,1,0.4,83
7019,"{'minutes': 13, 'seconds': 15}",USC,0,12,USC,Arizona,0,1,0.4,65
7020,"{'minutes': 10, 'seconds': 44}",Arizona,0,14,USC,USC,0,1,0.4,34
7021,"{'minutes': 15, 'seconds': 0}",California,0,18,California,Oregon State,0,1,0.4,82
7022,"{'minutes': 10, 'seconds': 17}",California,0,20,California,Oregon State,0,1,0.4,63
7023,"{'minutes': 13, 'seconds': 17}",California,0,9,California,Oregon State,7,2,0.4,69
7024,"{'minutes': 6, 'seconds': 4}",Washington,0,7,Washington,Oregon,7,1,0.4,80
7025,"{'minutes': 14, 'seconds': 39}",Washington,7,11,Washington,Oregon,7,2,0.4,76
7026,"{'minutes': 1, 'seconds': 29}",Stanford,10,8,Stanford,UCLA,14,1,0.4,79
7027,"{'minutes': 11, 'seconds': 56}",BYU,7,12,BYU,Boise State,7,2,0.4,81
7028,"{'minutes': 10, 'seconds': 16}",Boise State,7,14,BYU,BYU,7,2,0.4,39
7029,"{'minutes': 7, 'seconds': 5}",Boise State,7,12,BYU,BYU,7,2,0.4,30
7030,"{'minutes': 1, 'seconds': 1}",New Mexico,0,8,Wyoming,Wyoming,7,2,0.4,16
7031,"{'minutes': 3, 'seconds': 28}",San Diego State,7,10,San José State,San José State,7,1,0.4,2
7032,"{'minutes': 14, 'seconds': 51}",Central Michigan,7,10,Bowling Green,Bowling Green,7,2,0.4,29
7033,"{'minutes': 15, 'seconds': 0}",Toledo,0,12,Ball State,Ball State,0,1,0.4,23
7034,"{'minutes': 15, 'seconds': 0}",Toledo,0,8,Ball State,Ball State,17,2,0.4,34
7035,"{'minutes': 8, 'seconds': 27}",Louisiana,0,9,Arkansas State,Arkansas State,7,1,0.4,25
7036,"{'minutes': 6, 'seconds': 31}",Georgia,0,15,Georgia,Kentucky,0,3,0.4,76
7037,"{'minutes': 5, 'seconds': 24}",Florida,10,12,South Carolina,South Carolina,10,2,0.4,36
7038,"{'minutes': 3, 'seconds': 23}",South Carolina,10,12,South Carolina,Florida,10,2,0.4,86
7039,"{'minutes': 9, 'seconds': 38}",South Carolina,17,15,South Carolina,Florida,17,3,0.4,70
7040,"{'minutes': 13, 'seconds': 29}",Florida,17,9,South Carolina,South Carolina,20,4,0.4,4
7041,"{'minutes': 3, 'seconds': 1}",Vanderbilt,7,11,Vanderbilt,Missouri,7,2,0.4,62
7042,"{'minutes': 6, 'seconds': 59}",Texas,24,23,Texas,Kansas,24,3,0.4,60
7043,"{'minutes': 8, 'seconds': 38}",TCU,17,18,Kansas State,Kansas State,17,3,0.4,16
7044,"{'minutes': 8, 'seconds': 22}",Michigan,7,8,Penn State,Penn State,21,3,0.4,24
7045,"{'minutes': 4, 'seconds': 15}",Michigan,7,7,Penn State,Penn State,21,3,0.4,19
7046,"{'minutes': 3, 'seconds': 21}",Syracuse,13,9,Syracuse,Pittsburgh,24,3,0.4,61
7047,"{'minutes': 14, 'seconds': 3}",NC State,10,7,Boston College,Boston College,38,4,0.4,17
7048,"{'minutes': 3, 'seconds': 5}",Virginia Tech,14,9,Virginia Tech,North Carolina,17,2,0.4,74
7049,"{'minutes': 8, 'seconds': 1}",Virginia Tech,24,19,Virginia Tech,North Carolina,24,4,0.4,84
7050,"{'seconds': 13, 'minutes': 0}",Virginia Tech,31,10,Virginia Tech,North Carolina,31,4,0.4,80
7051,"{'minutes': 3, 'seconds': 31}",Arizona State,3,9,Utah,Utah,14,3,0.4,20
7052,"{'minutes': 5, 'seconds': 57}",Oregon,7,9,Washington,Washington,14,2,0.4,31
7053,"{'minutes': 13, 'seconds': 25}",Oregon,28,9,Washington,Washington,31,4,0.4,39
7054,"{'minutes': 7, 'seconds': 7}",UTEP,7,7,Florida International,Florida International,18,3,0.4,23
7055,"{'minutes': 1, 'seconds': 40}",Old Dominion,14,9,UAB,UAB,38,4,0.4,39
7056,"{'minutes': 1, 'seconds': 25}",Hawai'i,20,7,Hawai'i,Air Force,28,2,0.4,72
7057,"{'minutes': 4, 'seconds': 23}",Nevada,3,9,Utah State,Utah State,22,3,0.4,35
7058,"{'minutes': 14, 'seconds': 53}",UNLV,17,9,Fresno State,Fresno State,28,3,0.4,28
7059,"{'minutes': 15, 'seconds': 0}",East Carolina,6,9,UCF,UCF,35,3,0.4,26
7060,"{'minutes': 6, 'seconds': 9}",Temple,14,9,SMU,SMU,31,3,0.4,28
7061,"{'minutes': 3, 'seconds': 28}",Tulane,10,7,Memphis,Memphis,40,3,0.4,31
7062,"{'minutes': 5, 'seconds': 59}",Akron,0,7,Akron,Buffalo,7,3,0.4,62
7063,"{'minutes': 11, 'seconds': 15}",Eastern Michigan,20,7,Eastern Michigan,Western Michigan,21,4,0.4,62
7064,"{'minutes': 2, 'seconds': 42}",Georgia Southern,10,16,Georgia Southern,Coastal Carolina,10,4,0.4,97
7065,"{'minutes': 11, 'seconds': 18}",Texas A&M,0,10,Texas A&M,Mississippi State,0,1,0.4,90
7066,"{'minutes': 15, 'seconds': 0}",Oklahoma State,0,14,Iowa State,Iowa State,0,1,0.4,21
7067,"{'minutes': 12, 'seconds': 12}",Purdue,0,16,Purdue,Illinois,0,1,0.4,81
7068,"{'minutes': 14, 'seconds': 13}",Purdue,0,8,Purdue,Illinois,3,2,0.4,65
7069,"{'minutes': 6, 'seconds': 34}",Maryland,0,9,Minnesota,Minnesota,21,2,0.4,24
7070,"{'minutes': 10, 'seconds': 56}",Wisconsin,0,18,Ohio State,Ohio State,0,1,0.4,22
7071,"{'minutes': 14, 'seconds': 8}",Wisconsin,0,14,Ohio State,Ohio State,0,2,0.4,24
7072,"{'minutes': 11, 'seconds': 27}",Ohio State,0,24,Ohio State,Wisconsin,0,2,0.4,69
7073,"{'minutes': 1, 'seconds': 55}",Rutgers,21,19,Rutgers,Liberty,21,2,0.4,77
7074,"{'minutes': 13, 'seconds': 34}",Florida State,0,16,Florida State,Syracuse,0,1,0.4,81
7075,"{'minutes': 4, 'seconds': 27}",Louisville,7,14,Louisville,Virginia,7,1,0.4,63
7076,"{'minutes': 14, 'seconds': 50}",Louisville,7,15,Louisville,Virginia,7,2,0.4,85
7077,"{'seconds': 16, 'minutes': 0}",Pittsburgh,3,11,Pittsburgh,Miami,3,1,0.4,63
7078,"{'minutes': 6, 'seconds': 41}",Arizona,3,8,Stanford,Stanford,7,1,0.4,17
7079,"{'minutes': 11, 'seconds': 15}",Washington State,0,17,Oregon,Oregon,0,1,0.4,36
7080,"{'minutes': 9, 'seconds': 50}",Florida International,7,7,Middle Tennessee,Middle Tennessee,14,2,0.4,33
7081,"{'minutes': 15, 'seconds': 0}",Florida Atlantic,0,13,Old Dominion,Old Dominion,0,1,0.4,35
7082,"{'minutes': 15, 'seconds': 0}",Rice,0,17,Rice,Southern Mississippi,0,1,0.4,72
7083,"{'minutes': 15, 'seconds': 0}",Southern Mississippi,0,12,Rice,Rice,0,2,0.4,10
7084,"{'minutes': 7, 'seconds': 49}",Georgia Southern,7,15,Georgia Southern,New Mexico State,7,1,0.4,80
7085,"{'minutes': 1, 'seconds': 59}",Georgia Southern,7,12,Georgia Southern,New Mexico State,7,1,0.4,82
7086,"{'minutes': 15, 'seconds': 0}",Wyoming,0,18,Wyoming,Nevada,0,1,0.4,83
7087,"{'minutes': 15, 'seconds': 0}",UNLV,0,13,UNLV,San Diego State,0,1,0.4,74
